1	Games	omnis quod consequatur	184.83
2	Toys	vel libero suscipit	12.66
3	Grocery	non nemo iure	498.02
4	Toys	voluptatem voluptas aspernatur	536.8
5	Games	animi cum rem	458.2
6	Toys	dolorem porro debitis	146.52
7	Books	aspernatur rerum qui	656.42
8	Baby	deleniti earum et	41.46
9	Books	voluptas ut quidem	697.57
10	Baby	eos sed debitis	366.9
11	Toys	laudantium sit nihil	95.5
12	Grocery	ut perferendis corporis	302.19
13	Toys	sint voluptatem ut	295.37
14	Grocery	quos sunt ipsam	534.64
15	Baby	qui illo error	623.58
16	Books	aut ex ducimus	551.39
17	Books	accusamus repellendus minus	240.58
18	Baby	aut accusamus quia	881.38
19	Games	doloremque incidunt sed	988.49
20	Baby	libero omnis velit	177.61
21	Toys	consectetur cupiditate sunt	95.46
22	Baby	itaque ea qui	677.78
23	Grocery	non et nulla	70.49
24	Books	veniam consequatur et	93.44
25	Grocery	magnam adipisci voluptate	366.13
26	Toys	reiciendis consequuntur placeat	359.27
27	Toys	dolores ipsum sit	786.99
28	Toys	ut hic tempore	316.09
29	Toys	quas quis deserunt	772.78
30	Toys	excepturi nesciunt accusantium	911.46
